78823	何耿繩
349162	何耿繩
	
78890	何藻翔
349306	何藻翔
	
67676	何道生
349266	何道生
	
24874	余嶸
98780	余嶸
	
55104	侯峒曾
233626	侯峒曾
	
350290	傅景錞
440642	傅景錞
	
131603	傅朝佑
350273	傅朝佑
	
11194	傅誠
95537	傅誠
	
90204	儲在文
350455	儲在文
	
468125	元孚
498496	元孚
	
33562	凌廷堪
356553	凌廷堪
	
63361	凌福彭
356566	凌福彭
	
123491	劉侗
369610	劉侗
	
132667	劉元珍
369266	劉元珍
	
75097	劉孚京
125659	劉孚京
	
75066	劉宅俊
369725	劉宅俊
	
13286	劉安世
475938	劉安世
	
497632	劉承業
505499	劉承業
	
78930	余鍔
494453	余鍔
	
74867	劉曙
370356	劉曙
	
74954	劉書年
370237	劉書年
	
57389	劉楗
370157	劉楗
	
58128	劉綸
369658	劉綸
	
58032	劉藻
370067	劉藻
443301	劉藻
	
74749	劉開
125636	劉開
	
35180	劉體仁
75083	劉體仁
	
61773	勞乃宣
504739	勞乃宣
	
72249	區湛森
369097	區湛森
	
58410	卿祖培
442634	卿祖培
	
58410	卿祖培
442634	卿祖培
	
92389	史虛白
449349	史虛白
	
56881	史貽直
487014	史貽直
	
269996	吉慶
258650	吉慶
	
35102	姚鼐
360150	姚鼐
	
78633	吳懋政
352084	吳懋政
	
78535	吳敏樹
125645	吳敏樹
	
78259	吳文煥
351527	吳文煥
	
69659	吳穎芳
78593	吳穎芳
	
55276	吳蘭庭
125479	吳蘭庭
	
78357	吳觀禮
352127	吳觀禮
	
78411	吳郁生
352135	吳郁生
	
78479	吳鍾巒
352326	吳鍾巒
	
78057	吳雲
351613	吳雲
	
78144	吳鼎
351737	吳鼎
	
73854	呂夢飛
368023	呂夢飛
	
68453	呂懷
291610	呂懷
	
73795	呂璜
367944	呂璜
	
128326	呂維祺
367956	呂維祺
	
83569	周朝槐
373237	周朝槐
	
83366	周光祖
373439	周光祖
	
66176	周紹龍
372928	周紹龍
	
83594	周錫瓚
438828	周錫瓚
	
123573	唐文治
387355	唐文治
	
129446	唐泰
339787	唐泰
	
68335	唐龍
437976	唐龍
467440	唐龍
	
89020	商盤
339162	商盤
	
83890	單作哲
368527	單作哲
	
76338	嚴繩孫
368438	嚴繩孫
	
57458	夏之蓉
344298	夏之蓉
	
55107	夏允彝
129500	夏允彜
	
55110	夏完淳
124438	夏完淳
	
34658	夏尚樸
344376	夏尚樸
	
85517	姚光發
360293	姚光發
487814	姚光發
	
27889	姚樞
35142	姚樞
	
85253	姜垓
374504	姜垓
	
33182	姜宸英
374485	姜宸英
	
57223	姜晟
499885	姜晟
	
93963	孟簡
189486	孟簡
	
42572	孟賓于
439059	孟賓于
446348	孟賓于
	
128761	季本
495524	季本
	
83914	宗元醇
354427	宗元醇
	
58670	尹壯圖
123548	尹壯圖
	
72640	尹慶舉
348330	尹慶舉
	
126929	尹鳳岐
348403	尹鳳岐
	
4142	岳甫
450742	岳甫
	
88852	崔蔚林
350021	崔蔚林
	
127031	左光斗
357234	左光斗
498828	左光斗
	
32644	崔鄲
446833	崔鄲
	
34649	崔銑
224218	崔銑
	
92292	左偃
447649	左偃
	
88777	常紀
375931	常紀
	
34645	康海
486524	康海
	
54525	廖廷相
338826	廖廷相
	
35048	張之洞
345844	張之洞
	
130319	張大輪
346152	張大輪
	
80086	張寅
345885	張寅
	
80448	張廷濟
125622	張廷濟
	
34226	張惠言
346572	張惠言
	
80926	張敦仁
345054	張敦仁
	
67223	張益
130460	張益
	
130484	張納陛
345660	張納陛
	
80163	張翯
345407	張翯
	
130419	張肯堂
345518	張肯堂
	
80602	張若采
346393	張若采
441608	張若采
	
79974	張英
346389	張英
	
54432	張之萬
345847	張之萬
	
124309	張位
305824	張位
	
8012	張洎
446009	張洎
	
34791	釋袾宏
131270	釋袾宏
	
68455	顔鯨
133394	顔鯨
	
30849	高攀龍
	
80172	張謇
345877	張謇
	
80844	張躍鱗
441223	張躍鱗
	
54302	張金鏞
346957	張金鏞
	
80069	張銓
347084	張銓
	
80587	張際亮
125638	張際亮
	
54146	徐人龍
354107	徐人龍
	
16504	徐僑
386308	徐僑
	
86950	徐孚遠
129905	徐孚遠
	
30603	徐松
354004	徐松
	
129922	徐汧
353830	徐汧
	
56385	徐熊飛
338406	徐熊飛
441224	徐熊飛
	
86711	徐相
353993	徐相
	
87088	徐葆光
353955	徐葆光
	
30590	徐釚
354131	徐釚
	
86395	恩桂
367703	恩桂
	
35186	施閏章
341188	施閏章
341189	施閏章
	
66032	朱彜尊
30144	朱彝尊
350788	朱彝尊
	
74286	朱彭壽
350954	朱彭壽
	
29951	朱筠
70450	朱筠
	
35105	李兆洛
358227	李兆洛
	
33848	翁方綱
374265	翁方綱
	
33848	翁方綱
374265	翁方綱
	
35003	董其昌
360684	董其昌
	
91018	蔡念慈
363410	蔡念慈
	
86477	錢以同
375108	錢以同
	
29766	錢儀吉
375110	錢儀吉
	
68547	徐階
308811	徐階
	
